C,SETP.WORLD,DVD_DEMANDOPERATIONALACTUAL,AEMO,PUBLIC,2024/11/11,14:23:43,001731299023004,MONTHLY_ARCHIVE,001731299023004
I,OPERATIONAL_DEMAND,ACTUAL,3,INTERVAL_DATETIME,REGIONID,OPERATIONAL_DEMAND,LASTCHANGED,OPERATIONAL_DEMAND_ADJUSTMENT,WDR_ESTIMATE
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 00:30:00",NSW1,7423,"2024/10/01 00:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 00:30:00",QLD1,5639,"2024/10/01 00:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 00:30:00",SA1,1491,"2024/10/01 00:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 00:30:00",TAS1,1088,"2024/10/01 00:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 00:30:00",VIC1,4875,"2024/10/01 00:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 01:00:00",NSW1,7275,"2024/10/01 01:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 01:00:00",QLD1,5517,"2024/10/01 01:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 01:00:00",SA1,1500,"2024/10/01 01:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 01:00:00",TAS1,1070,"2024/10/01 01:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 01:00:00",VIC1,4780,"2024/10/01 01:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 01:30:00",NSW1,7151,"2024/10/01 01:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 01:30:00",QLD1,5438,"2024/10/01 01:30:01",0,0
