INTERVAL_DATETIME,REGIONID,OPERATIONAL_DEMAND.1,LASTCHANGED,OPERATIONAL_DEMAND_ADJUSTMENT,WDR_ESTIMATE
2025/01/01 00:30:00,NSW1,7251.0,2025/01/01 00:30:01,0.0,0.0
2025/01/01 00:30:00,QLD1,6418.0,2025/01/01 00:30:01,0.0,0.0
2025/01/01 00:30:00,SA1,1402.0,2025/01/01 00:30:01,0.0,0.0
2025/01/01 00:30:00,TAS1,1015.0,2025/01/01 00:30:01,0.0,0.0
2025/01/01 00:30:00,VIC1,4365.0,2025/01/01 00:30:01,0.0,0.0
2025/01/01 01:00:00,NSW1,7032.0,2025/01/01 01:00:02,0.0,0.0
2025/01/01 01:00:00,QLD1,6309.0,2025/01/01 01:00:02,0.0,0.0
2025/01/01 01:00:00,SA1,1428.0,2025/01/01 01:00:02,0.0,0.0
2025/01/01 01:00:00,TAS1,1009.0,2025/01/01 01:00:02,0.0,0.0
2025/01/01 01:00:00,VIC1,4264.0,2025/01/01 01:00:02,0.0,0.0
2025/01/01 01:30:00,TAS1,1007.0,2025/01/01 01:30:01,0.0,0.0
2025/01/01 01:30:00,NSW1,6868.0,2025/01/01 01:30:01,0.0,0.0
2025/01/01 01:30:00,QLD1,6255.0,2025/01/01 01:30:01,0.0,0.0
2025/01/01 01:30:00,SA1,1410.0,2025/01/01 01:30:01,0.0,0.0
2025/01/01 01:30:00,VIC1,4166.0,2025/01/01 01:30:01,0.0,0.0
2025/01/01 02:00:00,NSW1,6662.0,2025/01/01 02:00:02,0.0,0.0
2025/01/01 02:00:00,QLD1,6157.0,2025/01/01 02:00:02,0.0,0.0
2025/01/01 02:00:00,SA1,1367.0,2025/01/01 02:00:02,0.0,0.0
2025/01/01 02:00:00,TAS1,1002.0,2025/01/01 02:00:02,0.0,0.0
2025/01/01 02:00:00,VIC1,4031.0,2025/01/01 02:00:02,0.0,0.0
2025/01/01 02:30:00,NSW1,6528.0,2025/01/01 02:30:01,0.0,0.0
