INTERVAL_DATETIME,REGIONID,OPERATIONAL_DEMAND.1,LASTCHANGED,OPERATIONAL_DEMAND_ADJUSTMENT,WDR_ESTIMATE
2024-08-01 00:30:00,NSW1,8813.0,2024/08/01 00:30:02,0.0,0.0
2024-08-01 01:00:00,NSW1,8595.0,2024/08/01 01:00:01,0.0,0.0
2024-08-01 01:30:00,NSW1,8357.0,2024/08/01 01:30:02,0.0,0.0
2024-08-01 02:00:00,NSW1,8035.0,2024/08/01 02:00:01,0.0,0.0
2024-08-01 02:30:00,NSW1,7603.0,2024/08/01 02:30:02,0.0,0.0
2024-08-01 03:00:00,NSW1,7706.0,2024/08/01 03:00:02,0.0,0.0
2024-08-01 03:30:00,NSW1,7500.0,2024/08/01 03:30:01,0.0,0.0
2024-08-01 04:00:00,NSW1,7447.0,2024/08/01 04:00:02,0.0,0.0
2024-08-01 04:30:00,NSW1,7619.0,2024/08/01 04:30:01,0.0,0.0
2024-08-01 05:00:00,NSW1,7650.0,2024/08/01 05:00:01,0.0,0.0
2024-08-01 05:30:00,NSW1,8014.0,2024/08/01 05:30:01,0.0,0.0
2024-08-01 06:00:00,NSW1,8465.0,2024/08/01 06:00:01,0.0,0.0
2024-08-01 06:30:00,NSW1,9332.0,2024/08/01 06:30:02,0.0,0.0
2024-08-01 07:00:00,NSW1,10119.0,2024/08/01 07:00:02,0.0,0.0
2024-08-01 07:30:00,NSW1,10531.0,2024/08/01 07:30:02,0.0,0.0
2024-08-01 08:00:00,NSW1,10725.0,2024/08/01 08:00:02,0.0,0.0
2024-08-01 08:30:00,NSW1,10500.0,2024/08/01 08:30:02,0.0,0.0
2024-08-01 09:00:00,NSW1,9858.0,2024/08/01 09:00:02,0.0,0.0
2024-08-01 09:30:00,NSW1,9251.0,2024/08/01 09:30:02,0.0,0.0
2024-08-01 10:00:00,NSW1,8726.0,2024/08/01 10:00:01,0.0,0.0
2024-08-01 10:30:00,NSW1,8232.0,2024/08/01 10:30:02,0.0,0.0
2024-08-01 11:00:00,NSW1,7962.0,2024/08/01 11:00:02,0.0,0.0
2024-08-01 11:30:00,NSW1,7924.0,2024/08/01 11:30:02,0.0,0.0
2024-08-01 12:00:00,NSW1,7892.0,2024/08/01 12:00:02,0.0,0.0
2024-08-01 12:30:00,NSW1,7692.0,2024/08/01 12:30:02,0.0,0.0
2024-08-01 13:00:00,NSW1,7712.0,2024/08/01 13:00:02,0.0,0.0
2024-08-01 13:30:00,NSW1,7864.0,2024/08/01 13:30:01,0.0,0.0
